
13	superficies e interfaces peliculas e filamentos
13	teoria geral de particulas e campos
12	agricultura de precisao
12	cirurgia urologica
12	direito internacional privado
12	direito internacional publico
12	educacao matematica
12	educacao permanente
12	ergonomia
12	geoquimica
12	gestao do conhecimento
12	mercadologia
12	otica
12	processos organicos
12	qualidade do ar das aguas e do solo
12	recuperacao de informacao
12	uso eficiente de energia
11	biomecanica
11	controle de processos
11	direito tributario
11	engenharia de trafego
11	ensino de fisica
11	estrutura dos metais e ligas
11	inferencia parametrica
11	mecanicas dos solos
11	microbiologia medica
11	polimeros
11	politica e planejamento governamentais
11	processamento de lingua natural
11	processos inorganicos
11	quimica do solo
11	quimica fisica fisico quimica e bioquimica dos alim e das mat primas alimentares
11	sistemas de informacao geografica
11	teoria geral do direito
10	aprendizagem de maquina
10	avaliacao de alimentos para animais
10	biomatematica
10	cinetica quimica e catalise
10	conformacao mecanica
10	cosmologia
10	direito ambiental
10	engenharia do conhecimento
10	ensino e aprendizagem na sala de aula
10	estatistica espacial
10	geologia regional
10	instrumentacao especifica de uso geral em fisica
10	instrumentacao para medida e controle de radiacao
10	logistica
10	manejo de animais
10	materiais e dispositivos magneticos
10	metaheuristicas
10	metodos numericos
10	metodos oticos de analise
10	microeletronica
10	processamento de imagens medicas
10	robotica movel
10	rodovias projeto e construcao
10	sintese organica
10	sistemas de apoio a decisao
10	tecnologia de proteses
10	transp eletronicos e prop eletricas de superficies interfaces e peliculas
9	administracao de recursos humanos
9	administracao de sistemas educacionais
9	administracao de unidades educativas
9	analise de custos
9	aplicacoes industriais de radioisotopos
9	computacao evolucionaria
9	computacao movel
9	conservacao de bacias hidrograficas
9	controle de enchentes e de barragens
9	controle numerico
9	curriculos especificos para niveis e tipos de educacao
9	defesa fitossanitaria
9	direito comercial
9	economia dos recursos naturais
9	energia solar fotovoltaica
9	engenharia de construcoes rurais
9	estudos e caracterizacao de efluentes industriais
9	exigencias nutricionais dos animais
9	fisiologia cardiovascular
9	fisiologia de plantas cultivadas
9	historia da educacao
9	informacao cadastro e mapeamento
9	lavra a ceu aberto
9	materiais dieletricos e propriedades dieletricas
9	mecanicas das rochas
9	microbiologia e bioquimica do solo
9	micrometeorologia
9	modelagem matematica
9	obras de terra e enrocamento
9	otimizacao estrutural
9	planejamento e projeto do espaco urbano
9	pre processamento de produtos agricolas
9	processamento paralelo e distribuido
9	processos markovianos
9	propriedades fisico mecanicas da madeira
9	psicologia educacional
9	quimiometria
9	relatividade e gravitacao
9	representacao do conhecimento
9	residuos solidos domesticos e industriais
9	seguranca localizacao e licenciamento de reatores
9	transferencia de calor em reatores
9	transformacao de fases
8	analise estocastica
8	analise funcional
8	avaliacao producao e conservacao de forragens
8	cancerologia
8	computacao musical
8	computacao paralela
8	comunicacoes opticas
8	direito processual penal
8	doencas infecciosas de animais
8	eletroanalitica
8	eletronica de potencia
8	estrutura de liquidos e solidos cristalografia
8	estrutura nuclear
8	fisico quimica organica
8	geodesia celeste
8	instalacoes prediais
8	linguistica de corpus
8	materiais e componentes eletrooticos e magnetooticos materiais fotoeletricos
8	mecanizacao agricola
8	metodos matematicos da fisica
8	mudanca tecnologica
8	ordenamento florestal
8	organizacao industrial e estudos industriais
8	pavimentos
8	pediatria
8	politica educacional
8	processos perceptuais e cognitivos desenvolvimento
8	programacao matematica
8	projeto de estruturas aeroespaciais
8	propriedades termicas da materia condensada
8	prospeccao mineral
8	qualidade de software
8	quimica de interfaces
8	tecnicas convencionais de tratamento de aguas
8	tecnologia de produtos de origem vegetal
8	teoria geral e processos estocasticos
8	termodinamica quimica
7	administracao florestal
7	aguas subterraneas e pocos profundos
7	algoritmos
7	armazenamento de produtos agricolas
7	biomateriais e materiais biocompativeis
7	cartografia geologica
7	combustao e escoamento com reacoes quimicas
7	composicao musical
7	computacao bioinspirada
7	computacao quantica
7	conservacao de areas silvestres
7	dinamica dos gases
7	direitos humanos
7	drenagem urbana de aguas pluviais
7	economia florestal
7	educacao de adultos
7	eficiencia energetica
7	empreendedorismo
7	ensino a distancia
7	estrutura conformacao e estereoquimica
7	estruturas eletronicas e propriedades eletricas de superficies interf e particulas
7	fisiologia pos colheita
7	fundamentos da estatistica
7	gerencia de projetos
7	instrumentacao para operacao e controle de reatores
7	jogos digitais
7	mecanica computacional
7	metodos formais
7	modelagem computacional
7	modelagem e simulacao
7	nefrologia
7	operacoes caracteristicas de processos bioquimicos
7	patologia aviaria
7	planejamento e projetos da edificacao
7	pneumologia
7	processamento de alto desempenho
7	processos de disseminacao da informacao
7	qualidade da energia eletrica
7	relacoes agua madeira e secagem
7	seguranca da informacao
7	simulacao
7	sociologia da educacao
7	sociologia juridica
7	tecnologia da informacao
7	teoria dos jogos
7	teoria geral da informacao
7	teoria monetaria e financeira
7	trajetorias e orbitas
6	aeroelasticicidade
6	aprendizado de maquinas
6	aproveitamento de subprodutos
6	automacao industrial
6	avaliacao de desempenho
6	bioestatistica
6	cirurgia robotica
6	controle e automacao de sistemas propulsores
6	criptografia
6	desenho
6	desenvolvimento social e da personalidade
6	dinamica das estruturas
6	economia dos transportes
6	economia regional
6	eletroquimica
6	energia eolica
6	equipamentos metalurgicos
6	espectros moleculares e interacoes de fotons com moleculas
6	estruturas de madeiras
6	estudo de mercado
6	evolucao sistematica e ecologia quimica
6	fisica solar
6	geodesia geometrica
6	geoestatistica
6	geomagnetismo
6	geometria computacional
6	ginecologia e obstetricia
6	hidrogeografia
6	higiene e seguranca do trabalho
6	informatica
6	instalacoes industriais de producao de alimentos
6	instrumentacao meteorologica
6	intervencao terapeutica
6	meteorologia sinotica
6	metodos quantitativos bibliometria
6	microbiologia de alimentos
6	modelagem molecular
6	multimidia
6	negocios internacionais
6	organizacao de arquivos
6	petrologia
6	planejamento de instalacoes industriais
6	polimeros e coloides
6	problemas inversos
6	processos da comunicacao
6	processos de aprendizagem memoria e motivacao
6	processos de colisao e interacoes de atomos e moleculas
6	propriedades de transportes de materia condensada nao eletronica
6	propriedades fisicas dos metais e ligas
6	recursos hidricos
6	redes de computadores e sistemas distribuidos
6	sismologia
6	software livre
6	tecnicas avancadas de tratamento de aguas
6	tecnicas de abastecimento da agua
6	tecnologia de produtos de origem animal
6	usinagem
6	virologia
5	adequacao ambiental
5	agentes inteligentes
5	anatomia humana
5	artificial intelligence
5	automacao
5	bioetica
5	biotecnologia
5	cirurgia proctologica
5	controladoria
5	controle de processos industriais
5	crescimento e desenvolvimento economico
5	criminologia
5	direito do trabalho
5	doencas parasitarias de animais
5	economia agraria
5	economia matematica
5	educacao
5	educacao ambiental
5	ensino de engenharia
5	epidemiologia animal
5	estatistica aplicada
5	estudos de atomos e moleculas especiais
5	fadiga
5	fisico quimica inorganica
5	fotointerpretacao florestal
5	gastroenterologia
5	geotectonica
5	gestao ambiental
5	inferencia bayesiana
5	inferencia em processos estocasticos
5	inferencia nao parametrica
5	informatica aplicada a educacao
5	informatica em saude
5	interacao do oceano com a atmosfera
5	manejo florestal
5	materiais e dispositivos supercondutores
5	metodos experimentais e instrumentacao para particulas elementares e fisica nuclear
5	metrologia
5	mineracao de textos
5	nucleo do reator
5	organizacoes publicas
5	papeis e estruturas sociais individuo
5	papel e celulose
5	pirometalurgia
5	planejamento educacional
5	processamento da linguagem natural
5	processos de trabalho
5	processos estocasticos
5	producao de mudas
5	producao e beneficiamento de sementes
5	produtos naturais
5	propriedades fisicas das rochas
5	propriedades mecanicas e acusticas da materia condensada
5	protecao florestal
5	psicobiologia
5	realidade aumentada
5	recuperacao de areas degradadas
5	redes complexas
5	redes opticas
5	sistemas complexos
5	sistemas digitais
5	supercondutividade
5	tecnicas de analise e avaliacao urbana e regional
5	teoria da arquitetura
5	teoria da classificacao
5	teoria geral de planejamento e desenvolvimento curricular
5	teoria sociologica
5	tolerancia a falhas
4	administracao de sistemas de informacao
4	aerodinamica de aeronaves espaciais
4	algoritmos evolucionarios
4	algoritmos paralelos
4	analise de imagens
4	analise do discurso
4	analise sensorial de alimentos
4	anatomia e identificacao de produtos florestais
4	anestesiologia
4	antropologia educacional
4	arquitetura de computadores
4	biometria
4	cartografia
4	cinetica e teoria de transporte de fluidos propriedades fisicas de gases
4	cirurgia cardiovascular
4	cirurgia otorrinolaringologica
4	construcao e validade de testes escalas e outras medidas psicologicas
4	controle de sistemas dinamicos
4	corrosao
4	criacao de animais
4	desenvolvimento de sistemas
4	dinamica estrutural naval e oceanica
4	economia de tecnologia
4	eletricidade e magnetismo campos e particulas carregadas
4	endocrinologia
4	engenharia de conhecimento
4	ensino
4	ensino de ciencias
4	entomologia agricola
4	epidemiologia
4	equacoes diferenciais ordinarias
4	equipamentos de beneficiamento de minerios
4	estados eletronicos
4	estrategia
4	financas
4	fisica de reatores
4	florestamento e reflorestamento
4	galaxias
4	genetica e melhoramento florestal
4	genetica molecular
4	genomica
4	geologia estrutural
4	gerencia de redes de computadores
4	gravimetria
4	historia do brasil republica
4	inf sobre atomos e moleculas obtidos experimentalmente instrumentacao e tecnicas
4	informacao quantica
4	informatica industrial
4	instituicoes monetarias e financeiras do brasil
4	inteligencia artificial aplicada a educacao
4	interacao homem computador
4	interface homem maquina
4	jornalismo especializado comunitario rural empresarial cientifico
4	lavra de mina subterranea
4	logicas nao classicas
4	machine learning
4	matematica intervalar
4	materiais compositos
4	matrizes e ferramentas
4	medicina nuclear
4	medidas magneticas
4	mercados de energia eletrica
4	meteorologia dinamica
4	meteorologia fisica
4	metodo dos elementos finitos
4	metodologia instrumentacao e equipamento em psicologia
4	metodos de concentracao e enriquecimento de minerios
4	micologia
4	microbiologia agricola
4	mineralogia
4	modelagem agrometeorologica
4	movimento da agua do mar
4	neurocirurgia
4	ontologias
4	optoeletronica
4	organizacao editorial de jornais
4	padroes legislacao e fiscalizacao de alimentos
4	pedologia
4	planejamento energetico
4	politica e legislacao florestal
4	politicas publicas
4	processamento de dados astronomicos
4	processamento de imagem
4	processamento de imagens digitais
4	processamento de imagens e sinais
4	processamento paralelo
4	processos de separacao
4	processos grupais e de comunicacao
4	processos perceptuais e motores
4	processos simplificados de tratamento de aguas
4	propriedades de particulas especificas e ressonancias
4	qualidade de energia
4	radioastronomia
4	reacoes especificas e fenomiologia de particulas
4	redes de sensores sem fio
